,id,lyrics,annotation,song
4279,1999086,"[Verse 1: Alex Goot]
It feels like a perfect night to dress up like hipsters
And make fun of our ex's (oh oh oh oh)
It feels like a perfect night for breakfast at midnight
To fall in love with strangers (oh oh oh oh)
Yeah! We're happy, free, confused and lonely at the same time
It's miserable and magical, oh yeah
Tonight's the night when we forget about the deadlines
It's time (oh oh)
[Chours: Alex Goot, 
Chrissy Costanza
 & 
both
]
I don't know about you but I'm feelin 22
Everything will be alright if you'll keep me next to you
But you don't know about me
But I bet you want to
Everything will be alright if we just keep dancing like we're
22 (oh oh)
Yea, 22 (oh oh)
[Verse 2: Sam Tsui]
It seems like one of those nights this place is too crowded
Too many cool kids (woa oh)
It seems like one of those nights we ditch the whole scene
And end up dreaming instead of sleeping
Yea! We're happy, free, confused and lonely in the best way
It's miserable and magical, oh yea
Tonight's the night when we forget about the heartbreaks
It's time (oh oh) [Chours: Chrissy Costanza & Sam Tsui]
I don't know about you but I'm feelin 22
Everything will be alright if you'll keep me next to you
But you don't know about me
But I bet you want to
Everything will be alright if we just keep dancing like we're…
22 (oh oh)
22 (oh oh)
[Bridge: King The Kid]
It feels like one of those nights (we ditch the whole scene)
It feels like one of those nights (we won't be sleepin)
It feels like one of those nights (you look like bad news)
I gotta have you, I gotta have you
[Chours: Alex Goot & Sam Tsui]
I don't know about you but I'm feelin 22
Everything will be alright if you'll keep me next to you
But you don't know about me
But I bet you want to
Everything will be alright if we just keep dancing like we're…
22 (oh oh)
22 (oh oh)
[Outro]
It feels like one of those nights
It feels like one of those nights
It feels like one of those nights (we ditch the whole scene)
It feels like one of those nights (we won't be sleepin)
It feels like one of those nights (you look like bad news)
I gotta have you, I gotta have you","This is Alex Goot, Kurt Hugo Schneider, Against the Current, King The Kid, and Sam Tsui’s cover of the original “22” by Taylor Swift.


",22
4281,4782869,"[Verse 1]
I blew things out of proportion, now you're blue
Put you in jail for something you didn’t do
I pinned your hands behind your back, oh
Thought I had reason to attack, but no
[Pre-Chorus 1]
Fighting with a true love is boxing with no gloves
Chemistry 'til it blows up, 'til there’s no us
Why'd I have to break what I love so much?
It's on your face, and I'm to blame, I need to say
[Chorus]
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
Sorry that I hurt you
I don't wanna do, I don’t wanna do this to you (Ooh)
I don’t wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it’s all me, just don't go
Meet me in the afterglow
[Verse 2]
It's so excruciating to see you low
Just wanna lift you up and not let you go
This ultraviolet morning light below
Tells me this love is worth the fight, oh [Pre-Chorus 2]
I lived like an island, punished you with silence
Went off like sirens, just crying
Why'd I have to break what I love so much?
It’s on your face, don't walk away, I need to say
[Chorus]
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
I'm sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow
[Bridge]
Tell me that you're still mine
Tell me that we'll be just fine
Even when I lose my mind
I need to say
Tell me that it's not my fault
Tell me that I'm all you want
Even when I break your heart
I need to say [Chorus]
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
Sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow","In “Afterglow,” Taylor sings about self-sabotaging a relationship, overreacting about a misunderstanding. Taking blame for the fight, she asks for forgiveness from her partner in order to save the relationship.
The title of this song was teased in Swift’s  music video for her single “Lover”. In the video, a hand plays the words “After” and “Glow,” on a scrabble board.

Notably, the board is titled “King of Hearts,” a nod to “King of My Heart,” which is a song on Swift’s album reputation, hinting that the two songs are about the same person, namely her steady boyfriend of over three years, actor Joe Alwyn.",Afterglow
4284,2364298,"[Verse 1]
I wake up
I stretch out
I wonder what you're doin' right now
Yeah I slept, in my makeup again
Tell myself 'I must be crazy'
Thinkin' 'bout him
I find myself something decent to wear
Take the towel out of my hair
About that time, you call me
And I'm reminded, without you
[Chorus]
I'd be a stranger in an all night diner
Waiting for a love to find her
Lonely like a harbor light
That's never seen a boat
Like a line in an old love letter
No one ever wrote
[Verse 2]
I go to work
Work all day
I'm a walking tape recorder
Of everything you say
Walk to the car, dig out my keys
Start thinkin' if you were with anyone but me [Chorus]
I'm a stranger in an all night diner
Waiting for a love to find her
Lonely like a harbor light
That's never seen a boat
Like a line in an old love letter
No one ever wrote
[Bridge]
There you are
On the street
Just standing there, waiting on me
I show you, my new shoes
You say you love them
'Nd baby without you -
[Chorus]
I'm a stranger in an all night diner
Waiting for a love to find her
Lonely like a harbor light
That's never seen a boat
Like a line in an old love letter
No one ever wrote
[Outro]
I wake up
I stretch out
I wonder what you're doin' right now","“All Night Diner” is one of Taylor Swift’s unreleased songs.
The song’s imaginative lyrics talk about how she would feel if she didn’t have this boy in her life.",All Night Diner
4286,102701,"[Verse 1]
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now
[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days
[Pre-Chorus]
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh
[Chorus]
'Cause there we are again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well
[Verse 3]
Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You taught me 'bout your past, thinking your future was me [Pre-Chorus]
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
[Chorus]
'Cause there we are again in the middle of the night
We're dancing ‘round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well, yeah
[Bridge]
Well, maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again
Just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well [Verse 4]
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now, you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah
[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
[Outro]
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well","Widely regarded as one of Swift’s best songs, “All Too Well” sees her picking up shards of memories after a gut-wrenching breakup. She jumps through time to reflect on her best and worst memories with her ex, making the listener feel as though they were there with the couple.
Swift told Pop Dust that she began writing the song in a soundcheck for her 2011 tour in support of Speak Now. Co-writer Liz Rose explained that the song was initially 10-15 minutes long before she helped Swift pare it down, and Swift shared some of the original lyrics in a deluxe edition of her 2019 album, Lover.
Many believe Swift took inspiration from her relationship with actor Jake Gyllenhaal — the secret message “Maple Lattes” is hidden in the song’s liner notes, and the two shared those coffees in November 2010. In a 2015 interview with Howard Stern, Gyllenhaal claimed to not know that Swift wrote a song about him, though she seemingly told Vulture he reached out to her after hearing the album.
“All Too Well” was the fourth song to contribute to Swift’s “Track Five pattern,” a pattern fans have noted where she puts one of the most emotive songs on an album as the fifth track. Previous examples were “Cold As You,” “White Horse,” and “Dear John.”",All Too Well
4293,542396,"[Intro]
(Hey, hey, hey)
(Hey, hey, hey)
(Hey, hey, hey)
(Hey, hey, hey)
[Verse 1]
People like you always want back
The love they gave away
And people like me wanna believe you
When you say you've changed
The more I think about it now
The less I know
All I know is that you drove us
Off the road
[Chorus]
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, could've been easy
All you had to do was (Stay)
[Post-Chorus]
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was stay [Verse 2]
Here you are now, calling me up
But I don't know what to say
I've been pickin' up the pieces
Of the mess you made
People like you always want back
The love they pushed aside
But people like me are gone forever
When you say goodbye
[Chorus]
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, could've been easy
All you had to do was (Stay)
[Post-Chorus]
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was (Stay, stay, stay, stay, stay)
[Bridge]
Let me remind you
This was what you wanted (Oh, oh, oh-oh-oh)
You ended it
You were all I wanted (Oh, oh, oh-oh-oh)
But not like this
Not like this, not like this
Oh, all you had to do was [Chorus]
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, could've been easy
All you had to do was
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, it could've been easy (All you had to do was stay)
All you had to do was (Stay)
[Post-Chorus]
All you had to do was (Stay, oh)
All you had to do was (Stay)
All you had to do was (Stay, ooh)
All you had to do was (Stay)","“All You Had To Do Was Stay” discusses a crumbling relationship that falls apart due to a lover’s indecision. It’s part of Swift’s famous “track five” pattern — through the years, her fans have pointed out her tendency to make the most emotional song on the album the fifth track.
A big theme in Swift’s romantic songs is the prospect of a lover staying with her — see 2012’s “Stay Stay Stay,” 2017’s “New Year’s Day,” and 2019’s “The Archer,” another track five.
Swift gave fans a preview into the lyrics on October 18th, 2014, when she posted this picture on her Instagram:
",All You Had To Do Was Stay
4295,186996,"[Verse 1]
American boy, living life as it goes
Sitting on the fence posts
Living in the lie
American boy, living in the real world
Trying just to get the girl
Trying to survive
[Chorus]
The simple things in life are always new
Growing up on Sam Hill avenue
Mama makes her cookies and daddy's just
The greatest living hero that ever was
Nothing in the world can ever once destroy
The hope of an American boy
[Verse 2]
Living off of bar tips, trying for relationships
Looking for the love
Suddenly rise, an American beauty
Suddenly he cheats, sent from above
[Chorus]
The simple things in life are always new
Growing up on Sam Hill avenue
Mama makes her cookies and daddy's just
The greatest living hero that ever was
Nothing in the world can ever once destroy
The hope of an American boy [Verse 3]
American boy, raising little babies
Hearing daddy maybe, I'll be like you
Suddenly life, seems just like a new dawn
That's grown up, American boy
[Chorus]
The simple things in life are always new
Growing up on Grandview avenue
Mama makes her cookies and daddy's just
The greatest living hero that ever was
Nothing in the world will ever once destroy
No, nothing in the world will ever once destroy
The hope of an American boy","“American Boy” is one of Taylor Swift’s unreleased songs.
She sings about an American boy–much like she sang about an American girl–and his endless pursuit of the possibly dead American dream.",American Boy
4300,2466692,"[Verse 1]
Angelina’s got a pretty face
And really long brown hair
Lives somewhere in some wide open space
I’ve never been there
I guess some people come around and purpose she
But I don’t cause
[Chorus]
I have always been a bit reckless
And I am not your typical princess
I’m fine just a bit of a mess
And I’m not perfect you could say
I wasn’t brought up that way
[Verse 2]
Just watched Stephen run across the field
Watched him catch the ball
He’s got everything you’d wanna be
He’s funny, dark and tall
Watch him run across to Angelina
But I won’t cause
[Chorus]
I have always been a bit reckless
And I am not your typical princess
I’m fine just a bit of a mess
And I’m not perfect you could say
I wasn’t brought up that way [Bridge]
Stardom pushed across the line
Tripped over my two feet hey oh yeah
But ain’t it funny how
It all comes out
Isn’t life sweet?
[Chorus]
But, I have always been a bit reckless
I am not your typical princess
I’m fine just a bit of a mess
And I’m not perfect you could say, oh-oh
[Chorus]
I have always been a bit reckless
And I am not your typical princess
I’m fine just a bit of a mess
And I’m not perfect you could say
I wasn’t brought up that way","“Angelina,” one of Taylor’s unreleased songs, tells a story about a girl who is dating Taylor’s crush. It’s possible that the crush is Stephen Barker Liles of Love and Theft — Taylor wrote “Hey Stephen” about him, and it landed on her 2008 album Fearless.",Angelina
4302,8434253,"[Verse 1]
I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift
, 
all of the people
I've ghosted stand there in the room
[Pre-Chorus]
I should not be left to my own devices
They come with prices and vices
I end up in crisis
(Tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
(For the last time)
[Chorus]
It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero
[Verse 2]
Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed [Pre-Chorus]
Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
(A tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
(For the last time)
[Chorus]
It's me, hi
I'm the problem, it's me (I'm the problem, it's me)
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero
[Bridge]
I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell""
[Breakdown]
It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees [Chorus]
It's me, hi (Hi)
I'm the problem, it's me (I'm the problem, it's me)
At teatime (Teatime), everybody agrees (Everybody agrees)
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero","Described by Taylor herself as “one of my favorite songs that I have ever written”, “Anti-Hero” is the scintillating lead single from Midnights, her tenth studio album. Largely serving as a parallel to 2019’s “The Archer”, the song shows a darker self-perception from Swift than usual, and goes into detail about what she feels are her personal failures.
The track’s title and track number were revealed in the sixth video of her TikTok game Midnight Mayhem With Me on October 2nd, 2022. The next day, Swift released a ‘Behind The Song’ video to discuss the meaning and purpose behind the track, saying she “struggle[s] a lot with the idea that my life has become unmanageably sized"", and described the song as a “guided tour"" of the things she hates about herself.
On Halloween night of 2022, the song was announced to have debuted at #1 on the Billboard Hot 100. Marking her ninth number one single and fifth number one debut, “Anti-Hero” joined nine other songs from Midnights in constructing the entire top 10 – the first time ever in Billboard history.",Anti-Hero
4304,132101,"[Chorus]
Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?
[Verse]
Maybe I should've seen the signs
Should've read the writing on the wall
And realized by the distance in your eyes
That I would be the one to fall
[Pre-Chorus]
No matter what you say
I still can't believe that you would walk away
It don't make sense to me, but
[Chorus]
Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart? [Bridge]
It's not unbroken anymore (It's not unbroken anymore)
How do I get it back the way it was before?
[Chorus]
Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break—
(Why) Would you wanna break it?
[Chorus]
Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?
[Post-Chorus]
Mmm-hmm","“Perfectly Good Heart” is one of Taylor Swift’s first breakup songs. In it, she describes her very first experience with heartbreak, yet also hints there are more to come in her future.
It appears as the fourteenth track on her eponymous debut, and is only available on the deluxe edition.",A Perfectly Good Heart
4305,5793977,"[Verse 1]
Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""
[Chorus]
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
[Verse 2]
Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you
[Chorus]
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine [Bridge]
Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no
[Chorus]
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
[Outro]
'Cause you were never mine
Never mine
But do you remember?
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""
(Remember when I pulled up and said ""Get in the car"")
(And then canceled my plans just in case you'd call?)
(Back when I was livin' for the hope of it all, for the hope of it all)
(""Meet me behind the mall"")
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (For the hope of it all)
For the hope of it all, for the hope of it all
(For the hope of it all, for the hope of it all)","“august” is another folklore track produced with Swift’s frequent collaborator and friend Jack Antonoff, who called the song one of his “favorite things [they’ve] done together.”
The song describes an ill-fated summer romance, similarly to Swift’s earlier works like 2006’s “Tim McGraw.” Fans believe it’s the second part of folklore’s “Teenage Love Triangle,” told from the point of view of the girl James cheated on Betty with. The storyline is preceded by “cardigan” and followed by “betty.”
In the folklore album prologue, Swift says the album is inspired by “the sun drenched month of August, sipped away like a bottle of wine.” It’s also worth noting that August is the eighth month of the year, and “august” is the eighth track on folklore—and folklore is Swift’s eighth album that has eight deluxe versions.",​august
