"Step","sage-river-94 - train/loss","sage-river-94 - train/loss__MIN","sage-river-94 - train/loss__MAX","spring-frog-84 - train/loss","spring-frog-84 - train/loss__MIN","spring-frog-84 - train/loss__MAX"
"0","1.5962","1.5962","1.5962","1.6299","1.6299","1.6299"
"1","1.6636","1.6636","1.6636","1.6869","1.6869","1.6869"
"2","1.5983","1.5983","1.5983","1.641","1.641","1.641"
"3","1.722","1.722","1.722","1.5542","1.5542","1.5542"
"4","1.6366","1.6366","1.6366","1.5026","1.5026","1.5026"
"5","1.6209","1.6209","1.6209","1.6014","1.6014","1.6014"
"6","1.5637","1.5637","1.5637","1.5002","1.5002","1.5002"
"7","1.5457","1.5457","1.5457","1.5125","1.5125","1.5125"
"8","1.4171","1.4171","1.4171","1.3872","1.3872","1.3872"
"9","1.5179","1.5179","1.5179","1.5434","1.5434","1.5434"
"10","1.5505","1.5505","1.5505","1.3542","1.3542","1.3542"
"11","1.6161","1.6161","1.6161","1.4079","1.4079","1.4079"
"12","1.4951","1.4951","1.4951","1.3196","1.3196","1.3196"
"13","1.4587","1.4587","1.4587","1.4266","1.4266","1.4266"
"14","1.4375","1.4375","1.4375","1.2936","1.2936","1.2936"
"15","1.5477","1.5477","1.5477","1.3562","1.3562","1.3562"
"16","1.307","1.307","1.307","1.2646","1.2646","1.2646"
"17","1.347","1.347","1.347","1.3066","1.3066","1.3066"
"18","1.4098","1.4098","1.4098","1.1774","1.1774","1.1774"
"19","1.3507","1.3507","1.3507","1.2239","1.2239","1.2239"
"20","1.3068","1.3068","1.3068","1.1956","1.1956","1.1956"
"21","1.3252","1.3252","1.3252","1.2547","1.2547","1.2547"
"22","1.2718","1.2718","1.2718","1.226","1.226","1.226"
"23","1.2964","1.2964","1.2964","1.1922","1.1922","1.1922"
"24","1.0686","1.0686","1.0686","1.1869","1.1869","1.1869"
"25","1.2704","1.2704","1.2704","1.1583","1.1583","1.1583"
"26","1.2607","1.2607","1.2607","1.0902","1.0902","1.0902"
"27","1.2864","1.2864","1.2864","1.1177","1.1177","1.1177"
"28","1.1423","1.1423","1.1423","1.1385","1.1385","1.1385"
"29","1.1624","1.1624","1.1624","1.1584","1.1584","1.1584"
"30","1.274","1.274","1.274","1.1246","1.1246","1.1246"
"31","1.2244","1.2244","1.2244","1.0984","1.0984","1.0984"
"32","1.0866","1.0866","1.0866","1.1602","1.1602","1.1602"
"33","1.0807","1.0807","1.0807","1.0779","1.0779","1.0779"
"34","1.048","1.048","1.048","1.0602","1.0602","1.0602"
"35","1.0763","1.0763","1.0763","","",""
"36","1.0217","1.0217","1.0217","","",""
"37","1.0372","1.0372","1.0372","","",""
"38","1.0606","1.0606","1.0606","","",""
"39","0.9285","0.9285","0.9285","","",""
"40","0.8084","0.8084","0.8084","","",""
"41","1.0423","1.0423","1.0423","","",""
"42","0.9735","0.9735","0.9735","","",""
"43","0.903","0.903","0.903","","",""
"44","0.869","0.869","0.869","","",""
"45","0.892","0.892","0.892","","",""
"46","0.9412","0.9412","0.9412","","",""
"47","0.8893","0.8893","0.8893","","",""
"48","0.867","0.867","0.867","","",""
"49","0.877","0.877","0.877","","",""
