"Step","pious-hill-96 - train/loss","pious-hill-96 - train/loss__MIN","pious-hill-96 - train/loss__MAX","atomic-plasma-92 - train/loss","atomic-plasma-92 - train/loss__MIN","atomic-plasma-92 - train/loss__MAX","swept-serenity-90 - train/loss","swept-serenity-90 - train/loss__MIN","swept-serenity-90 - train/loss__MAX"
"0","1.83","1.83","1.83","1.5849","1.5849","1.5849","1.5456","1.5456","1.5456"
"1","1.8137","1.8137","1.8137","1.5942","1.5942","1.5942","1.6242","1.6242","1.6242"
"2","1.7304","1.7304","1.7304","1.4952","1.4952","1.4952","1.5997","1.5997","1.5997"
"3","1.8081","1.8081","1.8081","1.5858","1.5858","1.5858","1.5884","1.5884","1.5884"
"4","1.8081","1.8081","1.8081","1.5775","1.5775","1.5775","1.5023","1.5023","1.5023"
"5","1.8342","1.8342","1.8342","1.6201","1.6201","1.6201","1.4878","1.4878","1.4878"
"6","1.9287","1.9287","1.9287","1.7051","1.7051","1.7051","1.4995","1.4995","1.4995"
"7","1.6997","1.6997","1.6997","1.477","1.477","1.477","1.6708","1.6708","1.6708"
"8","1.8047","1.8047","1.8047","1.5701","1.5701","1.5701","1.5854","1.5854","1.5854"
"9","1.8665","1.8665","1.8665","1.6449","1.6449","1.6449","1.5667","1.5667","1.5667"
"10","1.8139","1.8139","1.8139","1.5974","1.5974","1.5974","1.5338","1.5338","1.5338"
"11","1.8915","1.8915","1.8915","1.657","1.657","1.657","1.7032","1.7032","1.7032"
"12","1.8892","1.8892","1.8892","1.665","1.665","1.665","1.682","1.682","1.682"
"13","1.7193","1.7193","1.7193","1.5102","1.5102","1.5102","1.724","1.724","1.724"
"14","1.7281","1.7281","1.7281","1.5203","1.5203","1.5203","1.5029","1.5029","1.5029"
"15","1.8006","1.8006","1.8006","1.5786","1.5786","1.5786","1.4448","1.4448","1.4448"
"16","1.6827","1.6827","1.6827","1.4945","1.4945","1.4945","1.5417","1.5417","1.5417"
"17","1.7206","1.7206","1.7206","1.5298","1.5298","1.5298","1.5892","1.5892","1.5892"
"18","1.7507","1.7507","1.7507","1.5556","1.5556","1.5556","1.6861","1.6861","1.6861"
"19","1.8607","1.8607","1.8607","1.6495","1.6495","1.6495","1.59","1.59","1.59"
"20","1.7","1.7","1.7","1.4991","1.4991","1.4991","1.6389","1.6389","1.6389"
"21","1.7881","1.7881","1.7881","1.5989","1.5989","1.5989","1.5414","1.5414","1.5414"
"22","1.8836","1.8836","1.8836","1.6696","1.6696","1.6696","1.5711","1.5711","1.5711"
"23","1.662","1.662","1.662","1.478","1.478","1.478","1.7277","1.7277","1.7277"
"24","1.7631","1.7631","1.7631","1.5841","1.5841","1.5841","1.5809","1.5809","1.5809"
"25","1.8206","1.8206","1.8206","1.6436","1.6436","1.6436","1.7294","1.7294","1.7294"
