"Step","peachy-cosmos-95 - train/loss","peachy-cosmos-95 - train/loss__MIN","peachy-cosmos-95 - train/loss__MAX","sage-river-94 - train/loss","sage-river-94 - train/loss__MIN","sage-river-94 - train/loss__MAX"
"0","1.826","1.826","1.826","1.5962","1.5962","1.5962"
"1","1.8841","1.8841","1.8841","1.6636","1.6636","1.6636"
"2","1.7788","1.7788","1.7788","1.5983","1.5983","1.5983"
"3","1.8659","1.8659","1.8659","1.722","1.722","1.722"
"4","1.8031","1.8031","1.8031","1.6366","1.6366","1.6366"
"5","1.7561","1.7561","1.7561","1.6209","1.6209","1.6209"
"6","1.6673","1.6673","1.6673","1.5637","1.5637","1.5637"
"7","1.6095","1.6095","1.6095","1.5457","1.5457","1.5457"
"8","1.4802","1.4802","1.4802","1.4171","1.4171","1.4171"
"9","1.5936","1.5936","1.5936","1.5179","1.5179","1.5179"
"10","1.6077","1.6077","1.6077","1.5505","1.5505","1.5505"
"11","1.6722","1.6722","1.6722","1.6161","1.6161","1.6161"
"12","1.5403","1.5403","1.5403","1.4951","1.4951","1.4951"
"13","1.5014","1.5014","1.5014","1.4587","1.4587","1.4587"
"14","1.471","1.471","1.471","1.4375","1.4375","1.4375"
"15","1.6105","1.6105","1.6105","1.5477","1.5477","1.5477"
"16","1.3998","1.3998","1.3998","1.307","1.307","1.307"
"17","1.4364","1.4364","1.4364","1.347","1.347","1.347"
"18","1.5549","1.5549","1.5549","1.4098","1.4098","1.4098"
"19","1.5165","1.5165","1.5165","1.3507","1.3507","1.3507"
"20","1.475","1.475","1.475","1.3068","1.3068","1.3068"
"21","1.411","1.411","1.411","1.3252","1.3252","1.3252"
"22","1.3163","1.3163","1.3163","1.2718","1.2718","1.2718"
"23","1.2962","1.2962","1.2962","1.2964","1.2964","1.2964"
"24","1.1099","1.1099","1.1099","1.0686","1.0686","1.0686"
"25","1.3148","1.3148","1.3148","1.2704","1.2704","1.2704"
"26","1.2965","1.2965","1.2965","1.2607","1.2607","1.2607"
"27","1.3368","1.3368","1.3368","1.2864","1.2864","1.2864"
"28","1.1764","1.1764","1.1764","1.1423","1.1423","1.1423"
"29","1.1749","1.1749","1.1749","1.1624","1.1624","1.1624"
"30","1.2762","1.2762","1.2762","1.274","1.274","1.274"
"31","1.2643","1.2643","1.2643","1.2244","1.2244","1.2244"
"32","1.1275","1.1275","1.1275","1.0866","1.0866","1.0866"
"33","1.1578","1.1578","1.1578","1.0807","1.0807","1.0807"
"34","1.1459","1.1459","1.1459","1.048","1.048","1.048"
"35","1.1854","1.1854","1.1854","1.0763","1.0763","1.0763"
"36","1.1082","1.1082","1.1082","1.0217","1.0217","1.0217"
"37","1.0508","1.0508","1.0508","1.0372","1.0372","1.0372"
"38","0.9691","0.9691","0.9691","1.0606","1.0606","1.0606"
"39","0.8942","0.8942","0.8942","0.9285","0.9285","0.9285"
"40","0.8165","0.8165","0.8165","0.8084","0.8084","0.8084"
"41","1.0296","1.0296","1.0296","1.0423","1.0423","1.0423"
"42","1.0022","1.0022","1.0022","0.9735","0.9735","0.9735"
"43","0.923","0.923","0.923","0.903","0.903","0.903"
"44","0.8847","0.8847","0.8847","0.869","0.869","0.869"
"45","0.8968","0.8968","0.8968","0.892","0.892","0.892"
"46","0.9294","0.9294","0.9294","0.9412","0.9412","0.9412"
"47","0.8804","0.8804","0.8804","0.8893","0.8893","0.8893"
"48","0.8545","0.8545","0.8545","0.867","0.867","0.867"
"49","0.9023","0.9023","0.9023","0.877","0.877","0.877"
"50","0.8632","0.8632","0.8632","0.8824","0.8824","0.8824"
