"Step","atomic-surf-86 - train/loss","atomic-surf-86 - train/loss__MIN","atomic-surf-86 - train/loss__MAX","bumbling-lion-85 - train/loss","bumbling-lion-85 - train/loss__MIN","bumbling-lion-85 - train/loss__MAX","spring-frog-84 - train/loss","spring-frog-84 - train/loss__MIN","spring-frog-84 - train/loss__MAX"
"0","1.6299","1.6299","1.6299","1.6299","1.6299","1.6299","1.6299","1.6299","1.6299"
"1","1.6869","1.6869","1.6869","1.6869","1.6869","1.6869","1.6869","1.6869","1.6869"
"2","1.6785","1.6785","1.6785","3.6906","3.6906","3.6906","1.641","1.641","1.641"
"3","1.5972","1.5972","1.5972","2.9565","2.9565","2.9565","1.5542","1.5542","1.5542"
"4","1.5098","1.5098","1.5098","6.902","6.902","6.902","1.5026","1.5026","1.5026"
"5","1.6239","1.6239","1.6239","3.1873","3.1873","3.1873","1.6014","1.6014","1.6014"
"6","1.5163","1.5163","1.5163","3.0844","3.0844","3.0844","1.5002","1.5002","1.5002"
"7","1.5506","1.5506","1.5506","","","","1.5125","1.5125","1.5125"
"8","1.4962","1.4962","1.4962","","","","1.3872","1.3872","1.3872"
"9","1.702","1.702","1.702","","","","1.5434","1.5434","1.5434"
"10","1.5795","1.5795","1.5795","","","","1.3542","1.3542","1.3542"
"11","1.5478","1.5478","1.5478","","","","1.4079","1.4079","1.4079"
"12","1.4443","1.4443","1.4443","","","","1.3196","1.3196","1.3196"
"13","1.5658","1.5658","1.5658","","","","1.4266","1.4266","1.4266"
"14","1.439","1.439","1.439","","","","1.2936","1.2936","1.2936"
"15","1.5468","1.5468","1.5468","","","","1.3562","1.3562","1.3562"
"16","1.5028","1.5028","1.5028","","","","1.2646","1.2646","1.2646"
"17","1.6266","1.6266","1.6266","","","","1.3066","1.3066","1.3066"
"18","1.556","1.556","1.556","","","","1.1774","1.1774","1.1774"
"19","1.4912","1.4912","1.4912","","","","1.2239","1.2239","1.2239"
"20","1.4728","1.4728","1.4728","","","","1.1956","1.1956","1.1956"
"21","1.5024","1.5024","1.5024","","","","1.2547","1.2547","1.2547"
"22","1.4628","1.4628","1.4628","","","","1.226","1.226","1.226"
"23","1.4831","1.4831","1.4831","","","","1.1922","1.1922","1.1922"
"24","1.5225","1.5225","1.5225","","","","1.1869","1.1869","1.1869"
"25","1.6115","1.6115","1.6115","","","","1.1583","1.1583","1.1583"
"26","1.519","1.519","1.519","","","","1.0902","1.0902","1.0902"
"27","1.4555","1.4555","1.4555","","","","1.1177","1.1177","1.1177"
"28","1.4746","1.4746","1.4746","","","","1.1385","1.1385","1.1385"
"29","1.4936","1.4936","1.4936","","","","1.1584","1.1584","1.1584"
"30","1.4261","1.4261","1.4261","","","","1.1246","1.1246","1.1246"
"31","1.4683","1.4683","1.4683","","","","1.0984","1.0984","1.0984"
"32","1.5614","1.5614","1.5614","","","","1.1602","1.1602","1.1602"
"33","1.5856","1.5856","1.5856","","","","1.0779","1.0779","1.0779"
"34","1.4981","1.4981","1.4981","","","","1.0602","1.0602","1.0602"
"35","1.3948","1.3948","1.3948","","","","","",""
"36","1.4795","1.4795","1.4795","","","","","",""
"37","1.4991","1.4991","1.4991","","","","","",""
"38","1.4403","1.4403","1.4403","","","","","",""
"39","1.4811","1.4811","1.4811","","","","","",""
"40","1.5591","1.5591","1.5591","","","","","",""
"41","1.5768","1.5768","1.5768","","","","","",""
